"Zip
Code","Place
Name",State,County,Lat,Long
34034,APO,AA,Dillon,33.0364,-82.2493
99501,Anchorage,AK,Anchorage Municipality,61.2116,-149.8761
99502,Anchorage,AK,Anchorage Municipality,61.1661,-149.96
99503,Anchorage,AK,Anchorage Municipality,61.19,-149.8938
35004,Moody,AL,St. Clair,33.6035,-86.4668
35005,Adamsville,AL,Jefferson,33.5884,-86.9597
35006,Adger,AL,Jefferson,33.4343,-87.1675
96208,APO,AP,Fulton,33.2116,-97.0876
96337,APO,AP,Harford,35.3541,-113.038
96373,FPO,AP,Adams,19.111,-155.7982
71601,Pine Bluff,AR,Jefferson,34.209,-91.9859
71602,White Hall,AR,Jefferson,34.274,-92.091
71603,Pine Bluff,AR,Jefferson,34.1897,-92.0448
85001,Phoenix,AZ,Maricopa,33.4484,-112.074
85002,Phoenix,AZ,Maricopa,33.4484,-112.074
85003,Phoenix,AZ,Maricopa,33.4511,-112.0774
90001,Los Angeles,CA,Los Angeles,33.9731,-118.2479
90002,Los Angeles,CA,Los Angeles,33.9497,-118.2462
90003,Los Angeles,CA,Los Angeles,33.9653,-118.2727
80001,Arvada,CO,Jefferson,39.8028,-105.0875
80002,Arvada,CO,Jefferson,39.7945,-105.0984
80003,Arvada,CO,Jefferson,39.8286,-105.0655
6001,Avon,CT,Hartford,41.7905,-72.8653
6002,Bloomfield,CT,Hartford,41.8316,-72.7249
6006,Windsor,CT,Hartford,41.8526,-72.6437
20001,Washington,DC,District of Columbia,38.9122,-77.0177
20002,Washington,DC,District of Columbia,38.9024,-76.9901
20003,Washington,DC,District of Columbia,38.8829,-76.9895
19701,Bear,DE,New Castle,39.6102,-75.6747
19702,Newark,DE,New Castle,39.6349,-75.6993
19703,Claymont,DE,New Castle,39.8044,-75.4649
32003,Fleming Island,FL,Clay,30.0933,-81.719
32004,Ponte Vedra Beach,FL,Saint Johns,30.2397,-81.3856
32006,Fleming Island,FL,Clay,30.107,-81.7167
96941,Pohnpei,FM,,7.1383,151.5031
96942,Chuuk,FM,,7.1383,151.5031
96943,Yap,FM,,7.1383,151.5031
30002,Avondale Estates,GA,DeKalb,33.7717,-84.2607
30003,Norcross,GA,Gwinnett,33.9604,-84.0379
30004,Alpharetta,GA,Fulton,34.1124,-84.302
96701,Aiea,HI,Honolulu,21.3908,-157.9332
96703,Anahola,HI,Kauai,22.1423,-159.3139
96704,Captain Cook,HI,Hawaii,19.4386,-155.8875
50001,Ackworth,IA,Warren,41.3737,-93.3767
50002,Adair,IA,Adair,41.5137,-94.6444
50003,Adel,IA,Dallas,41.6221,-94.038
83201,Pocatello,ID,Bannock,42.8876,-112.4381
83202,Pocatello,ID,Bannock,42.9357,-112.4679
83203,Fort Hall,ID,Bingham,43.0331,-112.4285
60001,Alden,IL,McHenry,42.3248,-88.4525
60002,Antioch,IL,Lake,42.4648,-88.1178
60004,Arlington Heights,IL,Cook,42.112,-87.9792
46001,Alexandria,IN,Madison,40.2561,-85.6681
46011,Anderson,IN,Madison,40.1146,-85.7253
46012,Anderson,IN,Madison,40.1309,-85.6536
66002,Atchison,KS,Atchison,39.5594,-95.1304
66006,Baldwin City,KS,Douglas,38.7953,-95.2276
