"Zip
Code","Place
Name",State,County,Lat,Long
96737,Ocean View,HI,Hawaii,19.1002,-155.7258
97134,Oceanside,OR,Tillamook,45.4549,-123.965
63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.5459
88250,Hope,NM,Eddy,32.8156,-104.7299
64444,Edgerton,MO,Platte,39.4742,-94.6352
15450,La Belle,PA,Fayette,39.9983,-79.9754
94278,Sacramento,CA,Sacramento,38.5816,-121.4944
97875,Stanfield,OR,Umatilla,45.786,-119.2116
68113,Offutt Afb,NE,Sarpy,41.2563,-95.9404
61536,Hanna City,IL,Peoria,40.6798,-89.7952
96837,Honolulu,HI,Honolulu,21.315,-157.8633
93465,Templeton,CA,San Luis Obispo,35.5551,-120.7107
92807,Anaheim,CA,Orange,33.8544,-117.7858
29936,Ridgeland,SC,Jasper,32.4807,-80.9804
45646,Latham,OH,Pike,39.0804,-83.3283
98119,Seattle,WA,King,47.6379,-122.3643
18660,Wapwallopen,PA,Luzerne,41.068,-76.0857
45769,Pomeroy,OH,Meigs,39.0607,-82.0331
72450,Paragould,AR,Greene,36.06,-90.5251
14058,Elba,NY,Genesee,43.0897,-78.1704
16023,Cabot,PA,Butler,40.7924,-79.76
38041,Henning,TN,Lauderdale,35.6593,-89.6962
38754,Isola,MS,Humphreys,33.2471,-90.604
12592,Wassaic,NY,Dutchess,41.7759,-73.5544
74761,Swink,OK,Choctaw,34.0179,-95.2022
33862,Lake Placid,FL,Highlands,27.2931,-81.3629
55329,Eden Valley,MN,Meeker,45.302,-94.6039
28692,Vilas,NC,Watauga,36.2574,-81.7652
56563,Moorhead,MN,Clay,46.8739,-96.7695
95913,Artois,CA,Glenn,39.6197,-122.1927
62794,Springfield,IL,Sangamon,39.7495,-89.606
4022,Denmark,ME,Oxford,43.9755,-70.7924
71748,Ivan,AR,Dallas,33.9118,-92.4246
76908,Goodfellow Afb,TX,Tom Green,31.4321,-100.4022
73083,Edmond,OK,Oklahoma,35.6665,-97.4654
85376,Sun City West,AZ,Maricopa,33.662,-112.3413
38769,Rosedale,MS,Bolivar,33.8432,-90.9923
71461,New Llano,LA,Vernon,31.1149,-93.2716
34637,Land O Lakes,FL,Pasco,28.2782,-82.4625
80479,Toponas,CO,Routt,40.0603,-106.8081
80236,Denver,CO,Denver,39.6535,-105.0376
51536,Hancock,IA,Pottawattamie,41.3832,-95.3445
88124,Melrose,NM,Curry,34.4479,-103.6325
37755,Helenwood,TN,Scott,36.4329,-84.5381
37769,Lake City,TN,Anderson,36.2032,-84.1386
74631,Blackwell,OK,Kay,36.8006,-97.2867
61108,Rockford,IL,Winnebago,42.2514,-89.0235
25514,Fort Gay,WV,Wayne,38.1335,-82.5541
51531,Elk Horn,IA,Shelby,41.5829,-95.07
35754,Laceys Spring,AL,Morgan,34.4996,-86.6129
56473,Pillager,MN,Cass,46.3607,-94.4895
25570,Wayne,WV,Wayne,38.2258,-82.4339
